League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Portugal LigaPro,2024-12-14,08:00:00,14,União de Leiria,Paços de Ferreira,2.75,2.0,4.0,2.0,3.25,3.3,1.46,2.55,1.05,8.0,1.36,3.0,2.05,1.66,1.85,1.9,1.28,1.25,1.72,1.14,1.43,1.47,1.25,2.72,1.83,8.0,2.2,1.14,4.4,1.3,2.97,1.55,2.23,1.94,1.77,2.48,1.45
Serbia SuperLiga,2024-12-14,09:00:00,19,Tekstilac Odžaci,Mladost Lučani,0.0,0.0,0.0,2.4,3.2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.05,1.66,0.0,0.0,0.0,0.0,0.0,1.4,1.9,1.18,0.7,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 2. Bundesliga,2024-12-14,09:00:00,16,Schalke 04,Fortuna Düsseldorf,3.1,2.2,3.0,2.62,3.5,2.5,1.33,3.05,1.04,10.0,1.22,4.0,1.65,2.1,1.55,2.35,1.5,1.25,1.47,1.0,2.13,1.49,1.38,2.87,1.98,6.75,1.98,1.21,3.8,1.36,2.8,1.6,2.17,1.95,1.74,2.4,1.49
Germany 2. Bundesliga,2024-12-14,09:00:00,16,Magdeburg,Paderborn,3.1,2.2,3.0,2.62,3.6,2.45,1.3,3.25,1.04,10.0,1.2,4.33,1.58,2.2,1.52,2.45,1.53,1.22,1.47,0.75,1.56,1.64,1.34,2.98,2.02,6.75,1.98,1.19,4.1,1.34,2.9,1.56,2.23,1.91,1.78,2.33,1.5
Germany 2. Bundesliga,2024-12-14,09:00:00,16,Ulm,Hamburger SV,4.0,2.25,2.4,3.75,3.6,1.91,1.32,3.15,1.04,10.0,1.22,4.0,1.63,2.1,1.62,2.2,1.9,1.2,1.2,0.75,1.38,1.46,1.53,2.99,2.75,7.0,1.54,1.18,4.0,1.34,2.9,1.56,2.23,1.89,1.8,2.33,1.52
England Championship,2024-12-14,09:30:00,0,Bristol City,Queens Park Rangers,2.5,2.1,4.75,1.8,3.5,4.33,1.44,2.63,1.06,10.0,1.36,3.2,2.0,1.71,1.91,1.8,1.22,1.25,2.0,1.4,1.1,1.43,0.86,2.29,1.47,7.5,2.95,1.1,5.65,1.25,3.63,1.47,2.6,1.79,2.02,2.21,1.66
Czech Republic First League,2024-12-14,09:30:00,19,Dukla Praha,Hradec Králové,4.33,2.1,2.75,3.9,3.2,2.0,1.44,2.63,1.06,8.0,1.33,3.1,2.08,1.73,1.91,1.91,1.8,1.25,1.25,1.0,1.1,1.22,1.25,2.47,2.41,8.5,1.75,0.0,0.0,0.0,0.0,1.58,2.29,1.95,1.77,2.44,1.52
England EFL League Two,2024-12-14,09:30:00,20,Tranmere Rovers,Harrogate Town,2.38,2.1,5.0,1.73,3.5,5.0,1.44,2.63,1.06,8.5,1.35,3.1,1.93,1.77,1.91,1.8,1.17,1.22,2.05,1.3,0.9,1.41,1.02,2.43,1.34,9.5,3.86,1.17,4.7,1.27,3.4,1.5,2.43,1.9,1.9,2.4,1.5
England Championship,2024-12-14,09:30:00,0,Preston North End,Leeds United,5.5,2.2,2.25,5.0,4.0,1.6,1.4,2.75,1.05,11.0,1.33,3.4,2.0,1.85,1.91,1.8,2.35,1.2,1.15,1.36,1.4,1.26,1.47,2.73,2.95,6.75,1.47,1.25,3.6,1.5,2.54,1.82,1.98,2.31,1.6,3.07,1.34
England EFL League Two,2024-12-14,09:30:00,20,Salford City,Notts County,3.1,2.1,3.6,2.5,3.3,2.7,1.44,2.63,1.06,8.5,1.3,3.45,2.01,1.79,1.8,1.91,1.45,1.25,1.5,1.8,1.27,1.41,1.23,2.64,1.85,8.0,2.28,1.2,4.2,1.33,3.05,1.58,2.2,2.0,1.72,2.65,1.42
