League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
SOUTH KOREA 2,2025-04-26,02:00:00,9,Cheonan City,Cheongju,3.2,2.1,3.4,2.44,3.45,2.71,1.4,2.75,3.0,1.36,9.0,1.07,1.05,8.5,1.33,3.2,1.98,1.77,1.8,1.91,1.42,1.28,1.53,0.6,0.88,1.1,1.26,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH KOREA 1,2025-04-26,02:00:00,10,Suwon,Jeonbuk Motors,4.0,2.1,2.88,3.14,3.26,2.25,1.44,2.63,3.0,1.36,9.0,1.07,1.06,8.5,1.33,3.3,1.98,1.77,1.8,1.91,1.65,1.25,1.33,1.5,2.0,1.49,1.19,2.68,2.08,6.25,1.92,1.47,2.48,1.76,1.93,2.23,1.57,2.9,1.34,3.9,1.21
JAPAN 2,2025-04-26,02:00:00,11,Tokushima Vortis,Kataller Toyama,2.88,1.95,4.5,2.16,3.01,3.63,1.57,2.25,3.75,1.25,11.0,1.05,0.0,0.0,1.5,2.4,2.25,1.53,2.1,1.67,0.0,0.0,0.0,1.75,1.0,1.34,1.09,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH KOREA 2,2025-04-26,02:00:00,9,Seoul E-Land,Gyeongnam,2.3,2.25,5.0,1.69,3.92,4.5,1.36,3.0,2.75,1.4,7.0,1.1,1.04,9.0,1.25,3.7,1.8,1.94,1.83,1.83,1.15,1.2,2.1,2.17,1.0,1.31,1.13,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAPAN 1,2025-04-26,02:00:00,12,Kashiwa Reysol,Albirex Niigata,3.0,1.95,4.0,2.41,3.02,3.08,1.53,2.38,3.5,1.29,11.0,1.05,0.0,0.0,0.0,0.0,2.25,1.53,2.0,1.75,0.0,0.0,0.0,1.6,0.8,1.42,1.15,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAPAN 2,2025-04-26,02:00:00,11,Renofa Yamaguchi,Imabari,4.0,1.95,3.0,2.94,3.1,2.46,1.53,2.38,3.5,1.29,11.0,1.05,0.0,0.0,0.0,0.0,2.25,1.53,2.0,1.73,0.0,0.0,0.0,1.2,2.5,1.26,1.55,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH KOREA 1,2025-04-26,04:30:00,10,Anyang,Jeju United,2.7,2.15,3.5,2.17,3.55,3.05,1.36,2.9,2.65,1.42,6.75,1.04,1.05,9.5,1.25,3.7,1.83,1.91,1.67,2.05,1.35,1.25,1.65,1.2,0.5,1.61,1.44,3.05,1.79,5.8,2.3,1.54,2.28,1.91,1.78,2.43,1.49,3.3,1.28,4.4,1.17
SOUTH KOREA 2,2025-04-26,04:30:00,9,Asan Mugunghwa,Ansan Greeners,2.2,2.2,6.0,1.66,3.78,4.9,1.44,2.63,3.0,1.36,9.0,1.07,1.05,8.5,1.33,3.1,1.95,1.79,2.1,1.67,1.13,1.22,2.15,1.67,1.0,2.02,0.99,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH KOREA 2,2025-04-26,04:30:00,9,Bucheon 1995,Incheon United,4.0,2.05,2.88,3.25,3.32,2.17,1.44,2.63,3.25,1.33,10.0,1.06,1.06,8.0,1.36,2.95,2.0,1.67,1.83,1.83,1.67,1.28,1.3,1.75,1.5,1.39,1.35,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINA 1,2025-04-26,04:30:00,9,Changchun Yatai,Chengdu Better City FC,5.2,2.45,1.98,6.0,4.5,1.47,1.24,3.5,2.29,1.58,5.05,1.12,1.01,13.0,1.12,4.65,1.55,2.2,1.63,2.14,2.47,1.19,1.13,0.67,2.5,1.35,2.0,3.35,3.15,7.0,1.43,1.23,3.65,1.41,2.65,1.67,2.04,2.07,1.66,2.63,1.41
