League,Home,Away,Date,Time,ID_Evento,IDMercado_Match_Odds,IDMercado_Correct_Score,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score?,IDMercado_Double_Chance,IDMercado_Half_Time,IDMercado_Half_Time_Score,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Asian_Handicap,IDMercado_Goal_Lines
Turkish 1 Lig,Bandirmaspor,76 Igdir Belediyespor,2025-04-14,08:00:00,34202228,1.242104306,1.242104315,1.242104310,1.242104354,1.242104351,1.242104355,1.242104352,1.242104314,1.242104312,1.242104305,1.242104303,1.242104390,1.242104307,1.242104313,1.242104350,1.242104309,1.242104311,1.242104304,1.242104356,1.242104316
Armenian Premier League,West Armenia,FC Ararat Yerevan,2025-04-14,09:00:00,34216813,1.242322526,1.242322535,1.242322530,1.242322574,1.242322571,1.242322575,1.242322572,1.242322534,1.242322532,1.242322525,1.242322523,1.242322610,1.242322527,1.242322533,1.242322570,1.242322529,1.242322531,1.242322524,1.242322576,1.242322536
English U21 Pro Development League,Bristol City U21,Wigan Athletic U21,2025-04-14,09:00:00,34216922,1.242323735,1.242323744,1.242323739,1.242323783,1.242323780,1.242323784,1.242323781,1.242323743,1.242323741,1.242323734,1.242323732,1.242323819,1.242323736,1.242323742,1.242323779,1.242323738,1.242323740,1.242323733,1.242323785,1.242323745
Ukrainian Premier League,Inhulets Petrove,Karpaty,2025-04-14,09:30:00,34200198,1.242085772,1.242085781,1.242085776,1.242085820,1.242085817,1.242085821,1.242085818,1.242085780,1.242085778,1.242085771,1.242085769,1.242085856,1.242085773,1.242085779,1.242085816,1.242085775,1.242085777,1.242085770,1.242085822,1.242085782
Turkish 1 Lig,Umraniyespor,Erokspor A.S,2025-04-14,11:00:00,34208093,1.242184539,1.242184548,1.242184543,1.242184587,1.242184584,1.242184588,1.242184585,1.242184547,1.242184545,1.242184538,1.242184536,1.242184623,1.242184540,1.242184546,1.242184583,1.242184542,1.242184544,1.242184537,1.242184589,1.242184549
Serbian First League,Zemun,FK Trayal Krusevac,2025-04-14,11:00:00,34216888,1.242346359,1.242346407,1.242346360,1.242346361,1.242346362,1.242346363,1.242346364,1.242346365,1.242346366,1.242346367,1.242346368,1.242346406,1.242346408,1.242346444,1.242346445,1.242346369,1.242346370,1.242346371,1.242346372,1.242346410
Serbian Super League,FK Napredak,Tekstilac Odzaci,2025-04-14,11:00:00,34215583,1.242313799,1.242313808,1.242313803,1.242313847,1.242313844,1.242313848,1.242313845,1.242313807,1.242313805,1.242313798,1.242313796,1.242313883,1.242313800,1.242313806,1.242313843,1.242313802,1.242313804,1.242313797,1.242313849,1.242313809
Bulgarian A League,Slavia Sofia,Botev Vratsa,2025-04-14,11:30:00,34195073,1.241972833,1.241972842,1.241972837,1.241972881,1.241972878,1.241972882,1.241972879,1.241972841,1.241972839,1.241972832,1.241972830,1.241972917,1.241972834,1.241972840,1.241972877,1.241972836,1.241972838,1.241972831,1.241972883,1.241972843
Romanian Liga I,Botosani,Otelul Galati,2025-04-14,11:30:00,34199282,1.242054303,1.242054312,1.242054307,1.242054351,1.242054348,1.242054352,1.242054349,1.242054311,1.242054309,1.242054302,1.242054300,1.242054387,1.242054304,1.242054310,1.242054347,1.242054306,1.242054308,1.242054301,1.242054353,1.242054313
Latvian Virsliga,Liepajas Metalurgs,FK Jelgava,2025-04-14,12:00:00,34204755,1.242130180,1.242130189,1.242130184,1.242130228,1.242130225,1.242130229,1.242130226,1.242130188,1.242130186,1.242130179,1.242130177,1.242130264,1.242130181,1.242130187,1.242130224,1.242130183,1.242130185,1.242130178,1.242130230,1.242130190
Georgian Umaglesi Liga,FC Iberia 1999,FC Gareji,2025-04-14,12:00:00,34216656,1.242318560,1.242318569,1.242318564,1.242318608,1.242318605,1.242318609,1.242318606,1.242318568,1.242318566,1.242318559,1.242318557,1.242318644,1.242318561,1.242318567,1.242318604,1.242318563,1.242318565,1.242318558,1.242318610,1.242318570
Slovenian Premier League,Domzale,NK Radomlje,2025-04-14,12:30:00,34205465,1.242146433,1.242146442,1.242146437,1.242146481,1.242146478,1.242146482,1.242146479,1.242146441,1.242146439,1.242146432,1.242146430,1.242146517,1.242146434,1.242146440,1.242146477,1.242146436,1.242146438,1.242146431,1.242146483,1.242146443
Saudi 1st Division,Al Batin,Al Taee,2025-04-14,12:35:00,34216796,1.242342780,1.242342782,,1.242342781,1.242342776,1.242342784,1.242342785,1.242342777,,,,,,,,1.242342783,1.242342775,1.242342779,,
Israeli National League,Hapoel Afula,Hapoel Raanana,2025-04-14,13:00:00,34208458,1.242187697,1.242187706,1.242187701,1.242187745,1.242187742,1.242187746,1.242187743,1.242187705,1.242187703,1.242187696,1.242187694,1.242187781,1.242187698,1.242187704,1.242187741,1.242187700,1.242187702,1.242187695,1.242187747,1.242187707
Israeli National League,Maccabi Kabilio Jaffa,Hapoel Umm Al Fahm,2025-04-14,13:00:00,34208453,1.242187879,1.242187888,1.242187883,1.242187927,1.242187924,1.242187928,1.242187925,1.242187887,1.242187885,1.242187878,1.242187876,1.242187963,1.242187880,1.242187886,1.242187923,1.242187882,1.242187884,1.242187877,1.242187929,1.242187889
Israeli National League,Hapoel Nof HaGalil,Ironi Ramat Hasharon,2025-04-14,13:00:00,34208452,1.242187787,1.242187796,1.242187791,1.242187835,1.242187832,1.242187836,1.242187833,1.242187795,1.242187793,1.242187786,1.242187784,1.242187871,1.242187788,1.242187794,1.242187831,1.242187790,1.242187792,1.242187785,1.242187837,1.242187797
Israeli Premier League,Maccabi Netanya,Hapoel Haifa,2025-04-14,13:00:00,34199772,1.242063598,1.242063607,1.242063602,1.242063646,1.242063643,1.242063647,1.242063644,1.242063606,1.242063604,1.242063597,1.242063595,1.242063682,1.242063599,1.242063605,1.242063642,1.242063601,1.242063603,1.242063596,1.242063648,1.242063608
Bahraini Premier,Sitra,Al Riffa,2025-04-14,13:00:00,34216828,1.242322256,1.242322265,1.242322260,1.242322304,1.242322301,1.242322305,1.242322302,1.242322264,1.242322262,1.242322255,1.242322253,1.242322340,1.242322257,1.242322263,1.242322300,1.242322259,1.242322261,1.242322254,1.242322306,1.242322266
Bahraini Premier,Al Khalidiyah,Al Ahli (BRN),2025-04-14,13:00:00,34216832,1.242322433,1.242322481,1.242322434,1.242322435,1.242322436,1.242322437,1.242322438,1.242322439,1.242322440,1.242322441,1.242322442,1.242322480,1.242322482,1.242322518,1.242322519,1.242322443,1.242322444,1.242322445,1.242322446,1.242322484
